Madagascar,AFRO,31/12/2023,3092063,2710365.0,11,10,2628849.0,9,10/05/2021,169187.0,1
Mexico,AMRO,29/12/2023,2.22E+08,9.67E7,172,75,8.13E7,63,24/12/2020,5.7E7,44
North Macedonia,EURO,23/12/2023,1862987,854570.0,89,41,838181.0,40,17/02/2021,161633.0,8
Malta,EURO,23/12/2023,1282437,450535.0,249,88,444904.0,86,23/12/2020,354901.0,69
Mozambique,AFRO,31/12/2023,3.50E+07,2.29E7,112,73,2.13E7,68,08/03/2021,2323562.0,7
Mauritania,AFRO,31/12/2023,4075874,2103754.0,88,45,1540597.0,33,26/03/2021,383937.0,8
Montserrat,AMRO,29/12/2023,4619,2104.0,92,42,1952.0,39,08/02/2021,563.0,11
Mauritius,AFRO,31/12/2023,2616012,1123773.0,206,88,1088142.0,86,26/01/2021,654507.0,51
Malawi,AFRO,31/12/2023,8503954,5433538.0,44,28,4288014.0,22,11/03/2021,1232829.0,6
Malaysia,WPRO,31/12/2023,7.26E+07,2.81E7,224,87,2.76E7,85,24/02/2021,1.63E7,51
Namibia,AFRO,31/12/2023,1005937,629767.0,40,25,550978.0,22,19/03/2021,298560.0,12
Nigeria,AFRO,31/12/2023,1.33E+08,9.38E7,65,46,8.13E7,39,05/03/2021,1.68E7,8
Nicaragua,AMRO,29/12/2023,1.55E+07,6404524.0,234,97,6126708.0,92,03/03/2021,2892531.0,44
Netherlands (Kingdom of the),EURO,23/12/2023,4.03E+07,1.35E7,231,77,1.24E7,71,30/12/2020,1.21E7,70
Norway,EURO,23/12/2023,1.30E+07,4346149.0,243,81,4061312.0,76,23/12/2020,3705726.0,69
Panama,AMRO,29/12/2023,9201276,3746041.0,213,87,3178700.0,74,20/01/2021,1770843.0,41
Peru,AMRO,29/12/2023,9.13E+07,3.05E7,277,93,2.87E7,87,09/02/2021,2.22E7,67
Poland,EURO,23/12/2023,5.86E+07,2.3E7,154,61,2.27E7,60,23/12/2020,1.29E7,34
Portugal,EURO,23/12/2023,2.74E+07,9822021.0,266,95,8910340.0,87,23/12/2020,7052055.0,68
Paraguay,AMRO,29/12/2023,9954852,3995915.0,140,56,3550673.0,50,22/02/2021,1660766.0,23
